v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,stkcd,dt
1,1,1,32,0,1,1,2,5,51,-1,0,0,1,1,3545,1,1,1,1,1,1,1,1,1,1,000027,2011
1,1,1,32,0,1,1,3,6,52,-1,0,0,1,0,3402,1,1,1,1,1,1,1,1,1,1,000027,2012
1,1,1,37,0,1,1,3,6,53,-1,0,0,1,0,3467,1,1,1,1,1,1,1,1,1,1,000027,2013
1,1,1,25,1,1,1,8,9,49,2355,0,0,1,0,4060,1,1,1,0,1,1,1,1,0,1,000028,2011
1,1,1,32,1,1,1,8,9,50,2341,0,0,1,1,4171,1,1,1,0,1,1,1,1,0,1,000028,2012
1,1,1,31,1,1,1,8,8,51,2600,0,0,1,0,4280,1,1,1,0,1,1,1,1,0,1,000028,2013
1,1,0,38,-1,1,0,-1,6,47,369,0,0,0,0,1786,1,1,0,1,1,0,1,1,0,0,000029,2011
1,1,0,38,0,1,0,5,7,46,369,0,0,0,1,1777,1,1,0,1,1,0,1,1,0,0,000029,2012
1,1,0,39,-1,1,0,4,6,48,403,0,0,0,1,1736,1,1,0,1,1,0,1,1,0,0,000029,2013
1,1,0,27,-1,0,0,8,11,46,1181,0,0,0,1,1881,1,1,1,1,1,0,1,1,1,1,000031,2011
1,1,0,28,0,1,0,6,9,48,1548,0,0,1,1,2442,1,1,1,1,1,0,1,1,1,1,000031,2012
1,1,0,26,-1,1,0,6,9,49,1646,0,0,0,0,2540,1,1,1,1,1,0,1,1,1,1,000031,2013
1,1,0,10,3,0,0,4,6,49,-1,1,9,0,0,1365,1,1,1,0,1,0,1,1,1,1,000032,2011
1,1,0,9,3,1,0,3,5,50,465,1,0,1,1,1264,1,1,1,0,1,0,1,1,1,1,000032,2012
1,1,0,8,3,0,0,3,5,51,471,1,0,0,1,1221,1,1,1,0,1,0,1,1,1,1,000032,2013
1,1,0,1,0,0,0,1,3,51,67,1,0,0,0,296,1,1,0,0,0,0,1,1,1,1,000033,2011
1,1,0,1,0,1,0,1,3,48,76,1,0,1,0,291,1,1,0,0,0,0,1,1,1,1,000033,2012
1,1,0,1,1,1,0,1,4,47,115,1,9,0,1,302,1,1,0,0,0,0,1,1,1,1,000033,2013
1,1,0,9,0,1,0,2,3,50,-1,0,0,0,0,1073,0,1,0,0,0,0,1,1,1,1,000034,2011
1,1,0,9,0,0,0,2,3,50,122,0,0,0,0,1095,0,1,0,0,0,0,1,1,1,1,000034,2012
1,1,0,9,0,1,0,2,5,47,143,0,0,0,1,1086,0,1,0,0,0,0,1,1,1,1,000034,2013
1,1,0,8,-1,1,0,0,4,47,292,0,0,0,0,740,1,0,0,1,1,1,1,1,0,1,000036,2011
1,1,0,10,-1,1,1,0,6,47,205,0,0,1,1,529,1,0,0,1,1,1,1,1,0,1,000036,2012
1,1,0,9,0,1,1,0,5,49,203,0,0,1,1,520,1,0,0,1,1,1,1,1,0,1,000036,2013
1,1,1,12,6,0,0,7,8,50,234,0,0,0,1,327,1,1,0,1,1,0,1,1,1,1,000037,2011
1,1,1,12,6,0,0,7,8,50,228,0,0,0,0,321,1,1,0,1,1,0,1,1,1,1,000037,2012
1,1,1,10,6,0,0,7,9,51,221,0,0,0,0,314,1,1,0,1,1,0,1,1,1,1,000037,2013
1,1,0,6,0,1,0,1,3,39,49,0,0,0,1,52,1,0,0,0,0,0,1,1,1,1,000038,2011
1,1,0,6,0,1,0,1,2,44,70,0,0,0,1,70,1,0,0,0,0,0,1,1,1,1,000038,2012
1,1,0,7,0,1,0,0,3,43,67,0,0,0,1,73,1,0,0,0,0,0,1,1,1,1,000038,2013
1,1,1,144,8,0,1,4,10,54,14299,0,0,1,0,64530,1,1,1,0,1,1,1,1,1,1,000039,2011
1,1,1,154,1,0,1,4,10,54,51582,0,0,1,0,58535,1,1,1,0,1,1,1,1,1,1,000039,2012
1,1,1,185,1,0,1,4,10,55,15782,0,0,1,0,57686,1,1,1,0,1,1,1,1,1,1,000039,2013
1,1,0,22,4,0,0,0,7,47,197,0,0,0,1,685,1,0,0,0,1,1,1,1,1,1,000040,2011
1,1,0,23,1,0,0,0,5,51,314,0,0,0,1,934,1,0,0,0,1,1,1,1,1,1,000040,2012
1,1,0,21,0,0,0,0,6,52,372,0,0,0,1,1048,1,0,0,0,1,1,1,1,1,1,000040,2013
1,1,0,19,0,1,1,4,6,50,-1,0,1,1,1,1115,1,0,0,0,1,0,1,1,0,0,000042,2011
1,1,0,20,0,1,1,-1,5,47,476,0,0,1,1,1123,1,0,0,0,1,0,1,1,0,0,000042,2012
1,1,,26,0,1,1,3,5,-1,482,0,0,1,1,1150,1,0,0,0,1,0,1,1,0,0,000042,2013
1,1,0,28,0,1,1,-1,8,46,2922,0,0,1,1,11751,1,1,1,0,1,1,1,1,1,1,000043,2011
1,1,0,30,0,1,1,-1,9,-1,3576,0,0,1,1,13902,1,1,1,0,1,1,1,1,1,1,000043,2012
1,1,0,54,0,1,1,5,7,46,3858,0,0,1,1,14998,1,1,1,0,1,1,1,1,1,1,000043,2013
1,1,0,7,0,1,1,3,5,50,274,0,0,1,1,808,1,1,0,0,1,1,1,1,0,0,000045,2011
1,1,0,8,0,1,1,3,5,51,366,0,0,1,0,1227,1,1,0,0,1,1,1,1,0,0,000045,2012
1,1,0,7,0,1,1,4,6,46,415,0,0,1,1,1475,1,1,0,0,1,1,1,1,0,0,000045,2013
1,1,0,17,0,1,0,0,4,48,-1,0,0,1,1,2857,1,0,1,1,1,0,1,1,1,1,000046,2011
1,1,0,17,0,1,0,1,4,47,-1,0,0,1,1,3058,1,0,1,1,1,0,1,1,1,1,000046,2012
1,1,0,18,0,0,0,3,6,47,-1,0,0,0,1,3761,1,0,1,1,1,0,1,1,1,1,000046,2013
1,1,0,25,2,0,0,3,3,43,475,0,0,0,0,1210,1,0,1,1,1,1,1,1,0,1,000048,2011
1,1,0,29,1,0,0,3,3,44,-1,0,0,0,1,1412,1,0,1,1,1,1,1,1,0,1,000048,2012
1,1,0,34,0,1,0,3,3,35,482,0,0,0,1,1449,1,0,1,1,1,1,1,1,0,1,000048,2013
1,1,0,8,2,0,0,0,3,45,1161,0,0,0,0,5335,1,0,1,1,1,1,1,1,0,0,000049,2011
1,1,0,6,1,1,0,0,2,47,1104,0,0,0,1,4570,1,0,1,1,1,1,1,1,0,0,000049,2012
1,1,0,7,2,1,0,0,3,48,1551,0,0,0,1,5626,1,0,1,1,1,1,1,1,0,0,000049,2013
1,1,0,6,4,1,0,4,6,48,2952,0,0,1,1,8195,1,0,1,0,1,0,1,1,1,1,000050,2011
1,1,0,7,4,1,0,4,6,46,2847,0,0,1,1,7184,1,0,1,0,1,0,1,1,1,1,000050,2012
1,1,0,7,6,1,0,3,8,47,2881,0,0,1,1,7479,1,0,1,0,1,0,1,1,1,1,000050,2013
1,1,0,10,3,1,0,1,5,48,2545,0,1,0,0,2923,0,0,1,0,0,0,1,1,1,1,000055,2011
1,1,0,9,3,1,0,1,5,49,1025,0,1,0,0,2880,0,0,1,0,0,0,1,1,1,1,000055,2012
1,1,0,9,3,1,0,0,5,50,1117,0,1,0,0,2081,0,0,1,0,0,0,1,1,1,1,000055,2013
1,1,0,7,4,1,0,3,6,45,183,0,1,0,1,333,1,0,0,0,1,0,1,1,0,0,000056,2011
1,1,0,6,4,1,0,3,7,48,145,0,2,0,1,390,1,0,0,0,1,0,1,1,0,0,000056,2012
1,1,0,6,4,1,0,2,5,48,187,0,1,0,0,390,1,0,0,0,1,0,1,1,0,0,000056,2013
1,1,0,11,4,1,0,4,4,49,326,0,0,1,0,564,1,0,1,0,1,0,1,1,0,0,000058,2011
1,1,0,15,4,1,0,4,4,50,251,0,0,1,0,300,1,0,1,0,1,0,1,1,0,0,000058,2012
1,1,0,15,4,1,0,3,4,50,-1,1,0,0,1,368,1,0,1,0,1,0,1,1,0,0,000058,2013
1,1,0,4,1,1,1,6,8,50,4133,0,0,1,1,12603,1,0,0,1,1,0,1,1,1,1,000059,2011
1,1,0,5,0,1,1,4,6,51,3870,0,0,1,0,10247,1,0,0,1,1,0,1,1,1,1,000059,2012
1,1,0,5,0,1,1,4,6,52,2093,0,0,1,0,10463,1,0,0,1,1,0,1,1,1,1,000059,2013
1,1,1,19,4,1,0,-1,5,47,3072,0,0,1,1,11066,1,1,0,1,1,1,1,1,0,1,000060,2011
1,1,1,19,5,1,0,-1,5,48,2690,0,0,1,0,10831,1,1,0,1,1,1,1,1,0,1,000060,2012
1,1,1,19,4,1,0,-1,4,49,2611,0,0,1,0,10521,1,1,0,1,1,1,1,1,0,1,000060,2013
1,1,0,59,0,1,0,6,7,44,2645,0,0,0,1,7029,0,0,0,0,0,0,1,1,1,1,000061,2011
1,1,0,54,0,1,0,6,7,45,2141,0,0,0,0,5336,0,0,0,0,0,0,1,1,1,1,000061,2012
1,1,0,58,0,1,0,5,6,45,1944,0,0,0,1,4363,0,0,0,0,0,0,1,1,1,1,000061,2013
1,1,0,24,4,1,0,-1,4,42,-1,0,0,0,1,1599,1,1,1,0,1,0,1,1,1,1,000062,2011
1,1,0,36,3,1,0,4,6,44,1198,0,0,0,1,1791,1,1,1,0,1,0,1,1,1,1,000062,2012
